"donor_id","donated","age","gender","marital_status","balance","income_category","education","previous_gifts","mean_gift","max_gift","min_gift","median_gift","days_since_first_gift","recency","frequency","emails_opened","website_visits","attended_event","newsletter_subscriber","region","area_type","distance_to_office","gender_F","gender_M","income_low","income_medium","income_high","income_veryhigh","age_disc","balance_disc","mean_gift_disc","max_gift_disc","recency_disc"
32,0,65,"M","Married",892.57,"Low","Bachelor",0,0,0,0,0,NA,NA,0,2,4,0,1,"Durrës","Rural",46.2,0,1,1,0,0,0,"age_4","balance_2",NA,NA,NA
36,1,44,"F","Married",1358.65,"Low","Bachelor",4,23.49,56.48,8.89,39.98,2452,224,0.595432300163132,6,5,1,1,"Vlorë","Suburban",58.4,1,0,1,0,0,0,"age_2","balance_3","mean_gift_2","max_gift_2","recency_2"
41,1,79,"F","Widowed",2889.92,"Low","Bachelor",3,48.18,64.08,31.26,56.13,521,421,2.10172744721689,12,7,0,1,"Elbasan","Rural",16.9,1,0,1,0,0,0,"age_5","balance_5","mean_gift_3","max_gift_3","recency_3"
45,1,41,"F","Single",1230.64,"Medium","Master",5,41.23,59.31,21.29,50.27,629,629,2.90143084260731,10,6,1,1,"Durrës","Urban",39.5,1,0,0,1,0,0,"age_2","balance_2","mean_gift_3","max_gift_3","recency_4"
49,1,89,"F","Married",1868.04,"Low","High School",2,30.46,65.15,18.23,47.81,2134,807,0.342080599812559,13,5,0,0,"Shkodër","Urban",31.5,1,0,1,0,0,0,"age_5","balance_4","mean_gift_2","max_gift_3","recency_5"
51,0,18,"F","Married",240.5,"Medium","High School",3,69.02,133.04,28.03,101.03,1821,314,0.601317957166392,13,7,1,1,"Tiranë","Urban",44,1,0,0,1,0,0,"age_1","balance_1","mean_gift_4","max_gift_4","recency_2"
52,1,55,"F","Married",2421.65,"High","High School",1,17.13,22.85,6.95,19.99,2274,423,0.160510114335972,8,3,1,1,"Other","Suburban",27.3,1,0,0,0,1,0,"age_3","balance_5","mean_gift_1","max_gift_1","recency_3"
54,1,55,"F","Single",2072.02,"Low","High School",3,20.99,50.07,13.02,35.53,2039,802,0.537027954879843,12,7,0,1,"Durrës","Rural",24.6,1,0,1,0,0,0,"age_3","balance_4","mean_gift_2","max_gift_2","recency_5"
55,0,58,"M","Married",710.23,"High","Master",3,110.09,212.58,62.49,161.34,1376,829,0.79578488372093,4,1,0,1,"Other","Urban",10.5,0,1,0,0,1,0,"age_3","balance_1","mean_gift_5","max_gift_5","recency_5"
57,1,66,"F","Married",2369.17,"Low","Bachelor",1,34.87,81.76,21.32,58.31,422,422,0.864928909952607,9,5,0,0,"Tiranë","Urban",18,1,0,1,0,0,0,"age_4","balance_5","mean_gift_3","max_gift_3","recency_3"
58,1,80,"M","Single",0,"High","High School",5,18.63,21.93,6.66,20.28,241,241,5,8,4,0,1,"Durrës","Suburban",18.1,0,1,0,0,1,0,"age_5","balance_1","mean_gift_1","max_gift_1","recency_2"
59,1,40,"M","Married",1372.34,"Medium","Master",4,141.82,274.71,101.34,208.26,611,67,2.38952536824877,15,7,0,0,"Tiranë","Suburban",21.1,0,1,0,1,0,0,"age_1","balance_3","mean_gift_5","max_gift_5","recency_1"
60,0,61,"F","Single",1869.6,"High","High School",0,0,0,0,0,NA,NA,0,7,4,0,0,"Elbasan","Suburban",4.6,1,0,0,0,1,0,"age_4","balance_4",NA,NA,NA
61,1,50,"M","Married",406.49,"Very High","Bachelor",3,40.21,93.92,13.24,67.06,2060,672,0.531553398058252,6,8,0,0,"Tiranë","Urban",37.4,0,1,0,0,0,1,"age_2","balance_1","mean_gift_3","max_gift_4","recency_4"
62,0,54,"F","Divorced",1361.93,"Low","Bachelor",1,11.5,21.73,7.29,16.62,230,113,1,7,5,0,1,"Tiranë","Urban",35.4,1,0,1,0,0,0,"age_3","balance_3","mean_gift_1","max_gift_1","recency_1"
63,0,73,"F","Married",1547.63,"Very High","Bachelor",1,23.74,48.87,15.35,36.3,2083,342,0.175228036485838,10,2,0,0,"Elbasan","Rural",8.3,1,0,0,0,0,1,"age_5","balance_3","mean_gift_2","max_gift_2","recency_2"
64,1,60,"F","Married",924.11,"Medium","Bachelor",5,38.2,82.24,22.66,60.22,889,713,2.05286839145107,9,6,0,1,"Vlorë","Urban",20.6,1,0,0,1,0,0,"age_3","balance_2","mean_gift_3","max_gift_3","recency_4"
65,1,90,"M","Single",977.21,"Low","Master",3,6.62,11.27,3.76,8.95,1594,728,0.686951066499373,4,1,0,1,"Other","Suburban",23.9,0,1,1,0,0,0,"age_5","balance_2","mean_gift_1","max_gift_1","recency_4"
66,1,49,"F","Married",1206.82,"Medium","High School",3,18.29,30.52,8.55,24.41,254,111,3,11,7,0,1,"Tiranë","Urban",19.1,1,0,0,1,0,0,"age_2","balance_2","mean_gift_1","max_gift_1","recency_1"
67,1,82,"M","Divorced",1538.72,"High","Master",1,57.04,129.93,34.63,93.48,1843,325,0.198046663049376,10,6,0,1,"Tiranë","Urban",37.9,0,1,0,0,1,0,"age_5","balance_3","mean_gift_4","max_gift_4","recency_2"
71,1,60,"M","Married",1405.58,"High","Bachelor",2,45.09,51.58,27.85,48.34,1230,839,0.59349593495935,4,5,1,1,"Tiranë","Urban",13.8,0,1,0,0,1,0,"age_3","balance_3","mean_gift_3","max_gift_2","recency_5"
73,1,58,"M","Married",2429.38,"Medium","Bachelor",2,29.72,74.14,18.39,51.93,2376,828,0.307239057239057,11,8,0,0,"Other","Suburban",28.4,0,1,0,1,0,0,"age_3","balance_5","mean_gift_2","max_gift_3","recency_5"
75,1,41,"F","Single",1555.61,"High","Master",4,97.53,218.3,73.84,157.92,1565,853,0.932907348242812,8,8,0,0,"Other","Suburban",57.7,1,0,0,0,1,0,"age_2","balance_3","mean_gift_5","max_gift_5","recency_5"
76,1,51,"F","Divorced",1549.8,"Medium","High School",1,158.2,364.44,112.84,261.32,1585,434,0.230283911671924,8,4,0,1,"Vlorë","Urban",9.9,1,0,0,1,0,0,"age_3","balance_3","mean_gift_5","max_gift_5","recency_3"
77,0,67,"F","Married",1699.7,"Low","High School",4,49.08,62.28,35.76,55.68,2899,590,0.503621938599517,3,6,0,1,"Tiranë","Rural",9.5,1,0,1,0,0,0,"age_4","balance_3","mean_gift_3","max_gift_3","recency_4"
79,1,61,"F","Married",2934.03,"Medium","Bachelor",6,4.39,8.24,1.41,6.31,1811,622,1.20927664273882,4,6,1,0,"Other","Urban",18.6,1,0,0,1,0,0,"age_4","balance_5","mean_gift_1","max_gift_1","recency_4"
81,1,70,"F","Divorced",2865.94,"Medium","Bachelor",0,0,0,0,0,NA,NA,0,8,7,0,1,"Vlorë","Urban",32.4,1,0,0,1,0,0,"age_4","balance_5",NA,NA,NA
82,1,66,"M","Single",1691.94,"High","Bachelor",1,63.2,82.52,36.74,72.86,2062,542,0.177012609117362,11,5,0,1,"Other","Urban",38.9,0,1,0,0,1,0,"age_4","balance_3","mean_gift_4","max_gift_3","recency_4"
83,0,51,"F","Married",772.73,"Low","Bachelor",2,36.29,81.28,17.75,58.78,2210,934,0.330316742081448,4,4,0,0,"Tiranë","Rural",16.8,1,0,1,0,0,0,"age_3","balance_1","mean_gift_3","max_gift_3","recency_5"
88,1,53,"M","Married",2725.62,"High","Master",3,1.6,2.66,0.59,2.13,2532,81,0.432464454976303,10,5,0,1,"Shkodër","Suburban",22.6,0,1,0,0,1,0,"age_3","balance_5","mean_gift_1","max_gift_1","recency_1"
94,0,52,"M","Married",613.02,"Very High","Bachelor",0,0,0,0,0,NA,NA,0,7,4,0,0,"Vlorë","Urban",7.1,0,1,0,0,0,1,"age_3","balance_1",NA,NA,NA
96,1,65,"F","Single",1788.94,"Low","Bachelor",5,53.46,75.36,32.07,64.41,1911,77,0.954997383568812,7,4,0,0,"Shkodër","Urban",58.5,1,0,1,0,0,0,"age_4","balance_4","mean_gift_4","max_gift_3","recency_1"
98,0,63,"F","Married",1833.81,"Medium","Bachelor",1,26.76,49.72,11.83,38.24,2236,411,0.163237924865832,9,4,0,1,"Other","Urban",33.9,1,0,0,1,0,0,"age_4","balance_4","mean_gift_2","max_gift_2","recency_3"
100,1,65,"F","Widowed",2682.58,"High","Bachelor",3,76.35,139.69,59.82,108.02,679,575,1.61266568483063,5,5,1,1,"Tiranë","Urban",24.1,1,0,0,0,1,0,"age_4","balance_5","mean_gift_4","max_gift_5","recency_4"
101,1,60,"M","Single",1605.13,"Low","High School",2,87.04,210.18,30.53,148.61,137,137,2,4,6,0,1,"Durrës","Urban",35.4,0,1,1,0,0,0,"age_3","balance_3","mean_gift_5","max_gift_5","recency_1"
105,1,55,"F","Married",1783.41,"Medium","Bachelor",2,7.24,16.17,2.2,11.71,773,608,0.944372574385511,9,4,0,1,"Other","Urban",24.8,1,0,0,1,0,0,"age_3","balance_4","mean_gift_1","max_gift_1","recency_4"
107,1,79,"M","Widowed",946.33,"Medium","Master",5,17.49,28.57,8.24,23.03,586,586,3.11433447098976,7,4,0,1,"Elbasan","Urban",13,0,1,0,1,0,0,"age_5","balance_2","mean_gift_1","max_gift_1","recency_4"
108,1,56,"M","Single",1753.81,"Medium","Bachelor",3,50.91,124.66,15.88,87.78,1503,808,0.728542914171657,13,5,1,0,"Durrës","Urban",27.3,0,1,0,1,0,0,"age_3","balance_4","mean_gift_3","max_gift_4","recency_5"
109,0,48,"F","Married",1721.97,"High","High School",0,0,0,0,0,NA,NA,0,13,5,0,0,"Tiranë","Rural",37.6,1,0,0,0,1,0,"age_2","balance_4",NA,NA,NA
112,1,62,"F","Divorced",2241.8,"Low","Bachelor",1,164.67,358.93,54.5,261.8,376,202,0.970744680851064,4,3,0,1,"Elbasan","Suburban",10,1,0,1,0,0,0,"age_4","balance_5","mean_gift_5","max_gift_5","recency_2"
113,1,35,"F","Divorced",1683.49,"Very High","Bachelor",3,30.94,74.17,15.79,52.56,1819,225,0.60197910940077,9,9,1,0,"Durrës","Rural",37.8,1,0,0,0,0,1,"age_1","balance_3","mean_gift_2","max_gift_3","recency_2"
114,1,31,"M","Single",2153.56,"Medium","Master",3,28.46,48.54,15.48,38.5,2023,114,0.541275333662877,12,4,1,1,"Other","Urban",22.1,0,1,0,1,0,0,"age_1","balance_4","mean_gift_2","max_gift_2","recency_1"
116,1,40,"F","Married",858.66,"High","Master",2,46.96,114.19,18.71,80.58,1356,275,0.53834808259587,6,2,0,1,"Tiranë","Rural",13.8,1,0,0,0,1,0,"age_1","balance_2","mean_gift_3","max_gift_4","recency_2"
121,0,63,"M","Married",1970.75,"High","Master",0,0,0,0,0,NA,NA,0,10,3,0,0,"Tiranë","Urban",26.8,0,1,0,0,1,0,"age_4","balance_4",NA,NA,NA
125,1,41,"F","Married",2382.25,"High","Bachelor",4,51.51,56.17,29.1,53.84,1444,616,1.01108033240997,8,3,0,0,"Tiranë","Urban",46.6,1,0,0,0,1,0,"age_2","balance_5","mean_gift_4","max_gift_2","recency_4"
126,1,59,"M","Single",1332.27,"Very High","Bachelor",2,28.66,65.51,15.73,47.08,1961,742,0.372259051504335,9,5,0,1,"Shkodër","Rural",19.9,0,1,0,0,0,1,"age_3","balance_3","mean_gift_2","max_gift_3","recency_4"
127,1,40,"F","Married",388.79,"Very High","Bachelor",2,67.8,154.52,31.03,111.16,1028,56,0.71011673151751,7,6,0,0,"Tiranë","Suburban",14.2,1,0,0,0,0,1,"age_1","balance_1","mean_gift_4","max_gift_5","recency_1"
128,1,41,"F","Married",2317.39,"Medium","Bachelor",5,12.45,19.48,7.37,15.96,103,103,5,4,4,0,1,"Vlorë","Urban",16.9,1,0,0,1,0,0,"age_2","balance_5","mean_gift_1","max_gift_1","recency_1"
129,1,57,"F","Married",682.42,"Medium","Master",4,34.03,56.3,14.97,45.16,2268,410,0.64373897707231,12,3,0,1,"Elbasan","Urban",25.2,1,0,0,1,0,0,"age_3","balance_1","mean_gift_2","max_gift_2","recency_3"
131,0,39,"M","Divorced",1856.2,"High","Bachelor",3,28,52.86,17.89,40.43,2419,597,0.45266639107069,8,5,0,1,"Other","Suburban",15,0,1,0,0,1,0,"age_1","balance_4","mean_gift_2","max_gift_2","recency_4"
132,0,27,"M","Single",779.5,"Low","High School",2,9.68,22.89,5.82,16.28,1093,112,0.667886550777676,6,5,0,1,"Tiranë","Suburban",1.6,0,1,1,0,0,0,"age_1","balance_1","mean_gift_1","max_gift_1","recency_1"
133,1,37,"M","Single",1247.54,"High","Bachelor",4,49,58.65,38.11,53.83,311,311,4,3,4,0,1,"Tiranë","Rural",25.4,0,1,0,0,1,0,"age_1","balance_2","mean_gift_3","max_gift_3","recency_2"
134,0,19,"M","Married",2129.63,"Medium","High School",2,27.4,33.48,11.35,30.44,488,60,1.49590163934426,8,3,0,0,"Elbasan","Urban",47.7,0,1,0,1,0,0,"age_1","balance_4","mean_gift_2","max_gift_1","recency_1"
135,1,57,"M","Married",2040.43,"Very High","Bachelor",5,3.22,5.88,1.87,4.55,1165,993,1.56652360515021,4,6,0,1,"Tiranë","Urban",26,0,1,0,0,0,1,"age_3","balance_4","mean_gift_1","max_gift_1","recency_5"
137,0,87,"M","Widowed",2580.24,"Medium","Master",1,40.65,75.05,12.44,57.85,2411,907,0.151389464952302,10,5,1,1,"Other","Suburban",29.7,0,1,0,1,0,0,"age_5","balance_5","mean_gift_3","max_gift_3","recency_5"
139,1,46,"M","Divorced",1381.33,"Low","High School",1,13.72,30.74,7.01,22.23,533,189,0.684803001876173,10,6,0,0,"Tiranë","Suburban",22.3,0,1,1,0,0,0,"age_2","balance_3","mean_gift_1","max_gift_1","recency_2"
142,1,41,"F","Married",1884.39,"Medium","PhD",5,16.47,29.43,11.47,22.95,1986,32,0.918932527693857,8,5,1,1,"Tiranë","Rural",39.6,1,0,0,1,0,0,"age_2","balance_4","mean_gift_1","max_gift_1","recency_1"
143,1,72,"F","Widowed",0,"High","Master",2,207.37,325.53,114.35,266.45,1743,721,0.418818129661503,13,7,1,1,"Vlorë","Urban",22.1,1,0,0,0,1,0,"age_5","balance_1","mean_gift_5","max_gift_5","recency_4"
144,0,48,"F","Married",1482.41,"High","Bachelor",3,98.77,105.95,74.3,102.36,975,336,1.12307692307692,5,6,0,1,"Shkodër","Urban",23.2,1,0,0,0,1,0,"age_2","balance_3","mean_gift_5","max_gift_4","recency_2"
149,1,46,"F","Married",1116.35,"Very High","High School",4,57.91,143.15,31.35,100.53,2235,31,0.65324384787472,10,6,1,0,"Vlorë","Suburban",38.7,1,0,0,0,0,1,"age_2","balance_2","mean_gift_4","max_gift_5","recency_1"
150,0,46,"M","Married",764.17,"High","Bachelor",0,0,0,0,0,NA,NA,0,4,6,0,1,"Other","Urban",9.4,0,1,0,0,1,0,"age_2","balance_1",NA,NA,NA
151,0,44,"M","Married",1485.95,"Low","High School",3,36.42,69.66,24.1,53.04,2152,348,0.508828996282528,7,6,0,1,"Durrës","Urban",4.8,0,1,1,0,0,0,"age_2","balance_3","mean_gift_3","max_gift_3","recency_3"
153,1,78,"F","Married",3149.55,"Medium","Bachelor",0,0,0,0,0,NA,NA,0,5,3,0,1,"Tiranë","Suburban",47.1,1,0,0,1,0,0,"age_5","balance_5",NA,NA,NA
156,1,46,"F","Divorced",1657.7,"Medium","Bachelor",2,50,71.48,19.34,60.74,2191,288,0.333181195801004,7,4,0,0,"Tiranë","Suburban",4.9,1,0,0,1,0,0,"age_2","balance_3","mean_gift_3","max_gift_3","recency_2"
159,1,64,"F","Single",1293.14,"Low","High School",1,124.99,229.69,83.51,177.34,1418,144,0.257404795486601,5,3,0,0,"Other","Urban",24.9,1,0,1,0,0,0,"age_4","balance_3","mean_gift_5","max_gift_5","recency_1"
161,1,80,"F","Married",2106.66,"High","Bachelor",2,15.26,35.16,8.46,25.21,1257,457,0.580747812251392,12,6,0,1,"Vlorë","Urban",41.4,1,0,0,0,1,0,"age_5","balance_4","mean_gift_1","max_gift_2","recency_3"
162,1,47,"F","Single",1713.38,"Medium","Bachelor",3,84.23,88.09,26.98,86.16,2184,392,0.501373626373626,10,5,0,0,"Tiranë","Urban",57.1,1,0,0,1,0,0,"age_2","balance_4","mean_gift_5","max_gift_4","recency_3"
163,1,54,"M","Married",1345.58,"Low","Bachelor",2,89.71,124.97,67.76,107.34,1275,490,0.572549019607843,10,3,0,0,"Other","Urban",10.1,0,1,1,0,0,0,"age_3","balance_3","mean_gift_5","max_gift_4","recency_3"
164,1,74,"F","Married",2013.52,"Medium","PhD",3,38.86,75.2,17.94,57.03,1060,810,1.03301886792453,8,6,0,0,"Vlorë","Urban",2.3,1,0,0,1,0,0,"age_5","balance_4","mean_gift_3","max_gift_3","recency_5"
171,1,72,"M","Married",1493.16,"Medium","High School",4,160.37,193.33,67.23,176.85,1470,444,0.993197278911565,10,5,0,1,"Durrës","Suburban",22.8,0,1,0,1,0,0,"age_5","balance_3","mean_gift_5","max_gift_5","recency_3"
172,1,55,"F","Single",1287.82,"Very High","Bachelor",2,39.3,62.28,20.04,50.79,673,261,1.08469539375929,5,9,0,1,"Tiranë","Rural",3.2,1,0,0,0,0,1,"age_3","balance_2","mean_gift_3","max_gift_3","recency_2"
173,1,79,"M","Married",2020.09,"High","Bachelor",4,50.61,124.43,33.45,87.52,407,213,3.58722358722359,6,4,0,1,"Tiranë","Urban",37.2,0,1,0,0,1,0,"age_5","balance_4","mean_gift_3","max_gift_4","recency_2"
175,0,43,"M","Married",873.59,"Low","Master",4,9.67,19.44,3.24,14.55,1556,610,0.938303341902314,5,8,0,1,"Shkodër","Urban",10.6,0,1,1,0,0,0,"age_2","balance_2","mean_gift_1","max_gift_1","recency_4"
178,1,64,"M","Divorced",600.27,"Low","Master",0,0,0,0,0,NA,NA,0,4,5,0,1,"Tiranë","Urban",14.6,0,1,1,0,0,0,"age_4","balance_1",NA,NA,NA
180,1,63,"M","Single",2350.81,"High","Bachelor",2,33.77,46.48,20.25,40.12,136,136,2,0,4,0,1,"Tiranë","Suburban",14.5,0,1,0,0,1,0,"age_4","balance_5","mean_gift_2","max_gift_2","recency_1"
181,0,53,"M","Married",819.2,"High","High School",1,13.89,24.36,8.38,19.12,875,785,0.417142857142857,8,4,1,0,"Elbasan","Suburban",43.6,0,1,0,0,1,0,"age_3","balance_1","mean_gift_1","max_gift_1","recency_5"
182,1,72,"F","Single",553.2,"Low","Bachelor",4,13.68,27.23,9.18,20.45,2227,308,0.655590480466996,9,5,0,0,"Other","Suburban",9.6,1,0,1,0,0,0,"age_5","balance_1","mean_gift_1","max_gift_1","recency_2"
183,1,61,"M","Married",2687.06,"Medium","Master",3,6.62,13.32,2.14,9.97,276,276,3,9,9,0,1,"Vlorë","Urban",6.3,0,1,0,1,0,0,"age_4","balance_5","mean_gift_1","max_gift_1","recency_2"
185,1,55,"M","Widowed",1397.37,"Low","Bachelor",2,84.31,98.91,60.75,91.61,1826,382,0.399780941949617,4,4,0,0,"Tiranë","Suburban",59.8,0,1,1,0,0,0,"age_3","balance_3","mean_gift_5","max_gift_4","recency_3"
186,0,49,"F","Widowed",1438.54,"Low","Bachelor",5,6.82,15.66,2.64,11.24,749,235,2.43658210947931,8,4,0,1,"Shkodër","Urban",6.8,1,0,1,0,0,0,"age_2","balance_3","mean_gift_1","max_gift_1","recency_2"
187,1,75,"F","Single",2642.58,"Low","Bachelor",2,39.84,50.39,13.56,45.12,558,558,1.30824372759857,9,10,0,1,"Durrës","Suburban",37.5,1,0,1,0,0,0,"age_5","balance_5","mean_gift_3","max_gift_2","recency_4"
188,1,34,"M","Married",1077.91,"Low","Bachelor",2,155.51,229.81,89.03,192.66,1032,212,0.707364341085271,6,6,0,1,"Tiranë","Suburban",12.7,0,1,1,0,0,0,"age_1","balance_2","mean_gift_5","max_gift_5","recency_2"
191,1,72,"F","Married",1274.89,"Low","High School",2,16.38,30.27,7.62,23.32,1955,562,0.373401534526854,4,4,0,1,"Durrës","Suburban",24.9,1,0,1,0,0,0,"age_5","balance_2","mean_gift_1","max_gift_1","recency_4"
192,1,63,"F","Married",2934.12,"Very High","Bachelor",2,13.81,26.06,9.42,19.93,2619,59,0.278732340588011,7,3,0,0,"Tiranë","Suburban",36.5,1,0,0,0,0,1,"age_4","balance_5","mean_gift_1","max_gift_1","recency_1"
193,1,79,"M","Married",2714.37,"High","High School",2,42.13,82.21,30.37,62.17,457,457,1.59737417943107,11,5,1,1,"Durrës","Rural",39.2,0,1,0,0,1,0,"age_5","balance_5","mean_gift_3","max_gift_3","recency_3"
194,1,71,"M","Single",947.46,"High","Bachelor",7,58.11,118.05,23.86,88.08,879,502,2.90671217292378,12,2,0,1,"Other","Suburban",49.1,0,1,0,0,1,0,"age_5","balance_2","mean_gift_4","max_gift_4","recency_3"
195,1,38,"M","Single",2690.43,"High","Bachelor",2,6.48,12.48,3.01,9.48,2650,550,0.275471698113208,7,2,0,0,"Vlorë","Urban",48.7,0,1,0,0,1,0,"age_1","balance_5","mean_gift_1","max_gift_1","recency_4"
196,1,72,"F","Divorced",1682.54,"Low","High School",3,57.91,98.25,27.16,78.08,1611,561,0.679702048417132,14,6,0,1,"Elbasan","Urban",54.5,1,0,1,0,0,0,"age_5","balance_3","mean_gift_4","max_gift_4","recency_4"
200,1,54,"M","Married",1288.23,"Medium","Bachelor",3,5.84,10.35,2.64,8.09,1914,438,0.572100313479624,9,7,0,0,"Tiranë","Suburban",6,0,1,0,1,0,0,"age_3","balance_2","mean_gift_1","max_gift_1","recency_3"
203,1,73,"M","Divorced",1159.39,"Low","Master",5,136.88,150.72,99.7,143.8,2681,967,0.680716150690041,10,5,0,1,"Shkodër","Suburban",35.2,0,1,1,0,0,0,"age_5","balance_2","mean_gift_5","max_gift_5","recency_5"
204,1,18,"F","Widowed",2852.52,"High","High School",1,56.03,102.69,40.08,79.36,625,98,0.584,7,3,0,1,"Tiranë","Suburban",48.2,1,0,0,0,1,0,"age_1","balance_5","mean_gift_4","max_gift_4","recency_1"
206,1,58,"M","Married",767.93,"Very High","Bachelor",1,125.61,204.86,97.43,165.24,1701,326,0.214579659024103,6,9,0,0,"Tiranë","Urban",16.2,0,1,0,0,0,1,"age_3","balance_1","mean_gift_5","max_gift_5","recency_2"
207,1,46,"F","Married",960.72,"Medium","Bachelor",3,5.41,10.44,2.49,7.92,1060,340,1.03301886792453,8,6,0,0,"Other","Urban",41.6,1,0,0,1,0,0,"age_2","balance_2","mean_gift_1","max_gift_1","recency_2"
209,0,40,"F","Married",1406.94,"Low","High School",3,17.41,23.8,11.01,20.6,2718,771,0.402869757174393,2,6,0,1,"Other","Urban",39.3,1,0,1,0,0,0,"age_1","balance_3","mean_gift_1","max_gift_1","recency_5"
213,0,46,"F","Widowed",1411.54,"Low","Bachelor",0,0,0,0,0,NA,NA,0,5,7,1,1,"Other","Urban",23.3,1,0,1,0,0,0,"age_2","balance_3",NA,NA,NA
215,1,52,"F","Married",1473.63,"Medium","High School",4,16.33,19.99,7.46,18.16,905,305,1.61325966850829,4,3,1,1,"Shkodër","Suburban",27.4,1,0,0,1,0,0,"age_3","balance_3","mean_gift_1","max_gift_1","recency_2"
216,0,53,"M","Single",1391.88,"Medium","Bachelor",5,16.71,17.15,11.15,16.93,2626,46,0.694973343488195,7,5,0,1,"Elbasan","Urban",33.3,0,1,0,1,0,0,"age_3","balance_3","mean_gift_1","max_gift_1","recency_1"
217,1,53,"F","Married",2387.41,"Medium","Bachelor",1,13,17.85,9.33,15.43,1763,355,0.207033465683494,13,7,0,1,"Tiranë","Urban",7.6,1,0,0,1,0,0,"age_3","balance_5","mean_gift_1","max_gift_1","recency_3"
