"donor_id","age","gender","balance","income_category","education","previous_gifts","mean_gift","max_gift","min_gift","recency","emails_opened","website_visits","attended_event","newsletter_subscriber","region","area_type","gender_F","income_low","income_medium","income_high"
10029,18,"F",2086.42,"Medium","High School",3,65.29,121.11,49.58,991,7,10,0,0,"Tiranë","Urban",1,0,1,0
10030,54,"F",812.13,"Medium","High School",4,21.5,50.12,14.92,402,8,6,0,1,"Other","Rural",1,0,1,0
10031,74,"M",933.98,"Medium","High School",5,42.87,49.94,28.13,1000,15,4,0,0,"Tiranë","Urban",0,0,1,0
10032,35,"F",1379.12,"Medium","High School",3,31.05,59.88,13,349,5,7,0,0,"Other","Urban",1,0,1,0
10033,67,"M",2567.99,"Very High","High School",1,48.45,93.77,35.89,645,10,5,0,0,"Elbasan","Urban",0,0,0,0
10034,71,"F",2020.69,"High","High School",2,22.45,31.2,10.24,464,12,8,0,1,"Other","Urban",1,0,0,1
10035,70,"M",1154.7,"Medium","Master",0,0,0,0,NA,6,5,0,0,"Durrës","Urban",0,0,1,0
10036,44,"M",799.26,"High","Bachelor",3,66.5,73.38,31.06,560,7,3,0,0,"Tiranë","Suburban",0,0,0,1
10037,60,"M",1482.91,"High","Bachelor",1,17.97,29.69,5.55,72,9,6,0,1,"Tiranë","Urban",0,0,0,1
10038,69,"M",1153.56,"Low","Master",4,75.26,155.65,25.89,160,7,5,0,0,"Vlorë","Urban",0,1,0,0
10039,62,"M",1570.68,"Low","Master",4,46.64,89.35,20.06,287,7,8,0,1,"Tiranë","Urban",0,1,0,0
10040,64,"M",1591.57,"Medium","Bachelor",4,108.31,136.72,79.19,686,17,6,0,0,"Tiranë","Urban",0,0,1,0
10041,26,"F",3731.3,"Medium","Bachelor",1,112.53,191.57,51.12,640,7,7,1,1,"Tiranë","Suburban",1,0,1,0
10042,37,"F",941.71,"Medium","Master",3,21.48,48.98,8.32,847,4,3,0,1,"Tiranë","Suburban",1,0,1,0
10043,35,"F",513.78,"Low","High School",3,53.45,75.5,29.01,171,7,5,0,1,"Tiranë","Suburban",1,1,0,0
10044,55,"F",1032.03,"Medium","High School",1,35.93,47.78,20.27,378,13,3,0,1,"Elbasan","Suburban",1,0,1,0
10045,34,"F",0,"Low","High School",3,20.38,23.67,10.92,944,8,6,0,1,"Durrës","Urban",1,1,0,0
10046,83,"F",929.13,"Medium","Master",5,43.3,83.05,24.54,97,11,7,1,0,"Tiranë","Urban",1,0,1,0
10047,57,"M",1341.92,"Very High","Bachelor",2,15.73,16.66,5.84,346,11,4,0,0,"Durrës","Urban",0,0,0,0
10048,80,"M",288.17,"Very High","Master",2,2.33,3.75,1.64,875,6,7,1,0,"Tiranë","Urban",0,0,0,0
10049,47,"F",3009.3,"High","High School",1,55.28,95.21,43.44,641,4,1,0,1,"Tiranë","Urban",1,0,0,1
10050,63,"M",1666.1,"High","Bachelor",4,23.9,48.49,14.18,253,10,8,0,0,"Elbasan","Urban",0,0,0,1
10051,76,"M",1511.24,"Medium","PhD",2,117.46,248.34,41.26,204,6,3,0,1,"Vlorë","Urban",0,0,1,0
10052,46,"M",2032.8,"Medium","Master",0,0,0,0,NA,6,5,0,0,"Other","Suburban",0,0,1,0
10053,58,"F",1153.36,"Medium","High School",4,70.95,115.71,43.36,228,5,6,1,1,"Tiranë","Urban",1,0,1,0
10054,51,"F",722.99,"Low","Bachelor",1,96.27,233.46,54.94,339,11,6,0,0,"Durrës","Urban",1,1,0,0
10055,28,"F",2095.91,"Medium","Master",3,20.44,47.25,11.94,729,6,4,0,1,"Other","Urban",1,0,1,0
10056,89,"M",748.63,"Low","High School",3,48.47,113.37,18.33,331,13,4,0,0,"Other","Suburban",0,1,0,0
10057,33,"M",2574.44,"Very High","Bachelor",2,13.21,14.74,8.63,547,5,5,0,1,"Tiranë","Suburban",0,0,0,0
10058,48,"M",2310.59,"Very High","Bachelor",3,18.87,25.4,11.92,780,9,2,0,0,"Vlorë","Urban",0,0,0,0
10059,39,"F",1551.35,"Low","Master",3,16.5,30.8,9.56,860,11,1,1,1,"Tiranë","Suburban",1,1,0,0
10060,60,"F",1606.92,"Medium","Master",2,36.56,68.06,26.09,858,5,6,0,1,"Vlorë","Urban",1,0,1,0
10061,78,"F",223.47,"Medium","High School",2,116.32,274.47,44.95,922,8,6,0,0,"Other","Suburban",1,0,1,0
10062,44,"F",3042.1,"Medium","Bachelor",3,70.05,90.1,26.17,95,5,4,0,1,"Shkodër","Urban",1,0,1,0
10063,41,"F",0,"Medium","High School",5,68.24,69.51,27.61,438,7,2,0,0,"Other","Suburban",1,0,1,0
10064,44,"M",2037.95,"Low","Bachelor",3,87.25,186.87,28.74,476,11,2,1,1,"Other","Suburban",0,1,0,0
10065,41,"F",960.32,"Low","Bachelor",0,0,0,0,NA,7,6,0,1,"Shkodër","Urban",1,1,0,0
10066,77,"F",0,"Medium","Bachelor",0,0,0,0,NA,12,8,0,0,"Durrës","Urban",1,0,1,0
10067,67,"M",842.3,"Medium","Master",4,89.32,218.87,30.88,389,10,4,0,0,"Vlorë","Suburban",0,0,1,0
10068,50,"F",2497.08,"Low","Bachelor",3,63.34,117.16,48.07,828,5,7,0,1,"Other","Urban",1,1,0,0
10069,61,"M",2109.81,"Medium","High School",3,13.86,31.02,4.2,727,6,5,0,1,"Tiranë","Urban",0,0,1,0
10070,84,"M",1357.38,"High","Master",2,10.2,11.57,5.68,865,5,5,0,1,"Other","Urban",0,0,0,1
10071,72,"M",1732.3,"Medium","Master",2,50.19,62.57,17.23,992,4,7,0,0,"Tiranë","Urban",0,0,1,0
10072,55,"M",1830.53,"Medium","Bachelor",1,204.85,400.18,77.49,868,4,6,1,1,"Other","Suburban",0,0,1,0
10073,56,"F",1952.94,"Very High","Bachelor",3,43.6,102.71,13.5,747,10,4,0,1,"Vlorë","Urban",1,0,0,0
10074,23,"F",2477.54,"Low","Master",2,51.36,66.08,32.67,479,8,5,1,1,"Other","Urban",1,1,0,0
10075,58,"F",1535.32,"Medium","Master",2,71.24,172.93,37.68,196,5,5,0,0,"Tiranë","Urban",1,0,1,0
10076,60,"F",3132.31,"High","Bachelor",0,0,0,0,NA,12,5,0,0,"Shkodër","Rural",1,0,0,1
10077,77,"F",1705.15,"High","Master",0,0,0,0,NA,8,2,0,1,"Tiranë","Urban",1,0,0,1
10078,77,"F",2347.4,"High","Bachelor",1,11.93,29.11,9.18,589,10,6,0,1,"Elbasan","Urban",1,0,0,1
10079,51,"F",1308.12,"High","Bachelor",0,0,0,0,NA,7,3,0,1,"Other","Suburban",1,0,0,1
10080,67,"M",998.09,"Medium","Bachelor",6,35.43,44.8,19.04,923,12,6,0,1,"Durrës","Suburban",0,0,1,0
10081,51,"F",2649.71,"Low","Master",1,25.25,34.42,8.67,461,13,6,1,0,"Tiranë","Urban",1,1,0,0
10082,26,"M",1999.48,"Low","Bachelor",3,19.13,45.2,13.27,117,14,4,0,0,"Durrës","Urban",0,1,0,0
10083,95,"M",3370.26,"Medium","Master",4,111.67,253.57,71.86,873,4,8,0,1,"Tiranë","Suburban",0,0,1,0
10084,77,"M",3398.85,"Medium","Bachelor",3,41.54,57.89,18.29,654,10,3,0,1,"Vlorë","Urban",0,0,1,0
10085,48,"F",1692,"Low","High School",2,131.65,153.67,96.91,981,9,7,0,1,"Shkodër","Urban",1,1,0,0
10086,59,"M",1359.8,"Medium","Bachelor",2,10.58,14.13,6,574,10,2,0,0,"Other","Urban",0,0,1,0
10087,51,"M",650.06,"High","Master",2,74.53,106.83,58.4,92,6,6,0,0,"Tiranë","Urban",0,0,0,1
10088,71,"F",343.2,"Low","Master",2,58.26,98.54,29.78,226,9,4,0,1,"Durrës","Suburban",1,1,0,0
10089,43,"M",1939.26,"High","Master",5,4.96,6.3,2.94,430,3,2,0,1,"Tiranë","Urban",0,0,0,1
10090,26,"M",1835.28,"Very High","PhD",2,34.86,51.79,12.17,396,7,4,1,1,"Elbasan","Suburban",0,0,0,0
10091,56,"M",752.64,"Medium","High School",1,47.4,51.38,22.97,863,8,4,1,1,"Elbasan","Suburban",0,0,1,0
10092,31,"M",1295.91,"Medium","Master",5,109.43,196.16,67.81,143,9,2,0,0,"Tiranë","Suburban",0,0,1,0
10093,62,"M",1317.25,"Medium","PhD",3,119.06,121.96,69.76,411,4,4,0,1,"Other","Rural",0,0,1,0
10094,49,"M",2257.82,"Low","PhD",3,7.95,9.69,5.84,701,7,2,0,1,"Tiranë","Suburban",0,1,0,0
10095,43,"M",1119.49,"Very High","Master",1,47.98,103.29,20.04,191,11,6,0,1,"Vlorë","Urban",0,0,0,0
10096,60,"M",868.99,"High","Bachelor",2,16.56,18.3,5.39,464,8,3,0,1,"Tiranë","Urban",0,0,0,1
10097,59,"F",2190.39,"High","High School",1,18.81,24.09,11.18,381,10,3,0,0,"Vlorë","Urban",1,0,0,1
10098,66,"F",947.27,"Medium","Bachelor",2,35.79,57.08,28.04,985,11,2,0,0,"Other","Rural",1,0,1,0
10099,35,"M",2145.71,"Low","Master",3,31.21,34.44,11.35,815,7,4,0,0,"Durrës","Urban",0,1,0,0
10100,68,"M",1336.33,"Very High","Bachelor",2,109.82,246.25,51.55,143,7,2,0,1,"Tiranë","Suburban",0,0,0,0
10101,43,"F",1373.93,"Medium","Bachelor",4,95.55,209.34,44.2,326,6,5,0,1,"Tiranë","Urban",1,0,1,0
10102,48,"F",1746.03,"Very High","High School",4,56.39,115.83,41.29,734,10,5,0,1,"Durrës","Urban",1,0,0,0
10103,63,"F",1016.11,"Medium","Bachelor",5,71.27,94.35,44.69,22,5,5,1,0,"Other","Rural",1,0,1,0
10104,55,"F",769.44,"Medium","Bachelor",2,72.8,173.1,53.28,513,8,4,0,0,"Other","Suburban",1,0,1,0
10105,57,"M",657.99,"Medium","Bachelor",1,12.06,23.24,8.86,631,9,4,0,0,"Durrës","Suburban",0,0,1,0
10106,72,"M",1479.43,"Medium","High School",2,49.18,109.6,19.85,213,3,5,0,1,"Other","Urban",0,0,1,0
10107,38,"M",2177.74,"Low","Bachelor",3,8.8,20.8,3.73,360,2,6,0,1,"Tiranë","Urban",0,1,0,0
10108,61,"M",119.07,"Medium","Bachelor",3,36.97,90.75,14.73,27,9,7,0,0,"Tiranë","Urban",0,0,1,0
10109,45,"M",2240.64,"Medium","Bachelor",1,35.29,54.07,15.46,341,9,4,0,0,"Durrës","Suburban",0,0,1,0
10110,60,"F",2638.38,"Low","High School",3,10.04,22.3,4.68,102,7,7,0,1,"Other","Suburban",1,1,0,0
10111,63,"M",2014.13,"Low","Bachelor",2,53.03,132.35,23.27,31,7,8,0,0,"Elbasan","Urban",0,1,0,0
10112,80,"F",941.15,"High","High School",2,24.65,36.49,11.69,393,12,3,0,1,"Vlorë","Suburban",1,0,0,1
10113,94,"F",1387.52,"Low","Master",3,6.49,7.08,5.05,361,3,2,1,1,"Tiranë","Rural",1,1,0,0
10114,46,"M",1110.9,"High","Bachelor",2,59.88,74.43,23.54,532,8,4,0,1,"Other","Urban",0,0,0,1
10115,39,"M",1567.29,"Low","Bachelor",2,32.11,65.66,10.05,937,7,4,0,0,"Tiranë","Suburban",0,1,0,0
10116,62,"M",898.14,"Medium","Master",1,27.95,44.73,17.21,852,7,8,0,1,"Vlorë","Suburban",0,0,1,0
10117,81,"M",0,"Low","High School",2,35.92,87.4,22.59,62,2,5,0,1,"Other","Urban",0,1,0,0
10118,64,"M",3431.59,"Low","Bachelor",4,42.45,68.97,32.65,49,9,1,0,0,"Tiranë","Urban",0,1,0,0
10119,81,"M",3402.03,"Medium","High School",3,99.67,214.2,60.44,448,7,6,0,1,"Tiranë","Urban",0,0,1,0
10120,71,"M",1790.13,"Medium","Master",3,29.57,31.1,8.98,73,13,4,0,0,"Other","Urban",0,0,1,0
10121,46,"F",999.26,"Medium","High School",6,17.4,19.41,9.62,689,10,7,0,1,"Tiranë","Urban",1,0,1,0
10122,44,"F",442.39,"Low","High School",3,128.68,273.44,89.97,233,6,5,0,0,"Other","Suburban",1,1,0,0
10123,32,"F",1906.05,"Low","Bachelor",0,0,0,0,NA,7,7,1,1,"Durrës","Suburban",1,1,0,0
10124,34,"M",2040.02,"Medium","PhD",2,22.18,30.65,11.31,392,12,1,0,1,"Tiranë","Suburban",0,0,1,0
10125,18,"F",1696.76,"Low","Master",2,17.31,28.57,12.38,984,8,12,1,0,"Tiranë","Rural",1,1,0,0
10126,61,"M",1227.07,"High","Bachelor",1,36.28,49.78,17.05,279,7,10,1,1,"Durrës","Urban",0,0,0,1
10127,50,"M",2356.15,"Medium","High School",4,3.45,7.35,2.54,574,7,3,1,0,"Tiranë","Urban",0,0,1,0
10128,60,"F",1726.39,"High","Bachelor",5,9.47,21.94,3.29,378,6,6,0,0,"Elbasan","Urban",1,0,0,1
10129,48,"F",1737.11,"High","Bachelor",4,70.62,165.08,41.24,170,7,3,0,1,"Vlorë","Urban",1,0,0,1
10130,75,"F",2067.2,"High","High School",3,76.19,188.56,23.26,106,9,5,0,1,"Tiranë","Urban",1,0,0,1
10131,58,"M",2477,"Medium","Master",5,23.25,35.81,14.34,192,10,3,0,1,"Tiranë","Suburban",0,0,1,0
10132,49,"F",2280.53,"Medium","High School",3,29.35,50.9,10.19,964,15,3,0,0,"Durrës","Suburban",1,0,1,0
10133,48,"M",1972.45,"High","Bachelor",2,43.52,52.34,17.01,163,10,6,0,0,"Vlorë","Urban",0,0,0,1
10134,55,"M",2138.53,"Medium","PhD",3,33.72,56.37,22.21,942,8,9,0,0,"Elbasan","Urban",0,0,1,0
10135,24,"F",1604,"Very High","High School",2,11.59,14.13,9.05,220,8,5,0,1,"Shkodër","Rural",1,0,0,0
10136,59,"M",1906.07,"Low","Master",0,0,0,0,NA,7,8,0,0,"Durrës","Urban",0,1,0,0
10137,28,"F",528.47,"Low","Bachelor",4,63.54,90.59,41.52,529,6,4,1,0,"Tiranë","Suburban",1,1,0,0
10138,52,"M",1814.5,"Low","Master",4,73.61,137.71,46.34,417,7,6,0,1,"Shkodër","Urban",0,1,0,0
10139,46,"F",942.7,"High","High School",2,3.32,5.66,2.57,100,5,8,0,1,"Vlorë","Suburban",1,0,0,1
10140,62,"M",2779.3,"Medium","Bachelor",1,45.15,53,33.23,532,11,7,0,1,"Durrës","Rural",0,0,1,0
10141,33,"F",715.8,"Medium","Bachelor",4,70.75,96.09,22.65,982,9,5,0,1,"Elbasan","Urban",1,0,1,0
10142,81,"F",248.52,"Medium","High School",1,51.16,106.59,40.39,775,13,7,1,1,"Other","Suburban",1,0,1,0
10143,61,"F",2523.41,"Medium","Bachelor",1,37.1,62.65,17.55,498,11,1,0,1,"Tiranë","Urban",1,0,1,0
10144,39,"F",1572.28,"High","Bachelor",4,32.42,72.52,25.06,642,10,6,0,0,"Tiranë","Suburban",1,0,0,1
10145,72,"F",40.87,"Low","High School",1,71.79,143.9,50.68,962,9,2,0,1,"Other","Urban",1,1,0,0
10146,35,"M",1844.04,"Medium","High School",2,44.69,96.6,23.34,814,8,2,0,0,"Tiranë","Urban",0,0,1,0
10147,66,"M",2401.88,"Very High","Bachelor",0,0,0,0,NA,7,5,0,1,"Tiranë","Urban",0,0,0,0
10148,54,"M",1943.83,"Very High","High School",1,15.38,30.65,9.38,261,6,12,0,0,"Shkodër","Urban",0,0,0,0
10149,74,"F",2161.19,"High","Bachelor",1,52.82,110.75,23.37,216,13,7,0,0,"Shkodër","Suburban",1,0,0,1
10150,65,"M",1778.03,"Very High","Bachelor",4,36.21,78.56,15.44,286,6,2,0,1,"Vlorë","Suburban",0,0,0,0
10151,43,"M",1355.38,"Low","High School",3,22.54,35.99,9.14,679,5,7,0,1,"Durrës","Suburban",0,1,0,0
10152,66,"M",2188.61,"Very High","Bachelor",1,9.44,17.19,7.39,226,9,2,0,1,"Elbasan","Urban",0,0,0,0
10153,51,"F",860.8,"Medium","Bachelor",3,10.72,23.57,8.44,939,8,3,1,1,"Durrës","Urban",1,0,1,0
10154,61,"F",2417.71,"High","Bachelor",2,34.76,58.17,27.44,830,7,6,0,1,"Shkodër","Urban",1,0,0,1
10155,49,"F",2323.62,"Low","PhD",3,13.8,30.91,9.83,987,7,6,0,0,"Durrës","Suburban",1,1,0,0
10156,39,"M",2809.44,"Medium","Master",1,15.58,33.76,8.87,189,10,10,0,0,"Tiranë","Urban",0,0,1,0
10157,37,"F",2031.52,"Medium","High School",6,16.14,31.04,9.01,380,6,3,0,0,"Other","Suburban",1,0,1,0
10158,65,"M",922.16,"High","Bachelor",3,69.68,146.79,54.45,835,4,2,0,0,"Other","Urban",0,0,0,1
10159,51,"M",409.86,"Medium","Bachelor",2,59.63,134.63,22.48,277,9,6,0,1,"Elbasan","Rural",0,0,1,0
10160,67,"M",928.54,"High","Master",1,17.22,39.89,13.12,833,7,6,1,1,"Durrës","Urban",0,0,0,1
10161,78,"F",2366.09,"Medium","Master",2,34.37,43.44,20.21,705,2,4,0,1,"Shkodër","Urban",1,0,1,0
10162,44,"M",1373.6,"Medium","Bachelor",4,32.94,69.84,18.29,124,8,5,0,1,"Tiranë","Suburban",0,0,1,0
10163,60,"F",1974.12,"Medium","Master",0,0,0,0,NA,9,10,1,0,"Vlorë","Suburban",1,0,1,0
10164,88,"M",1606.5,"Low","Bachelor",1,65.74,84.48,27.5,575,9,7,0,1,"Tiranë","Urban",0,1,0,0
10165,21,"M",2010.6,"Medium","High School",6,9.35,20.91,3.01,140,8,4,0,0,"Vlorë","Urban",0,0,1,0
10166,54,"F",1039.21,"Low","Bachelor",5,38.66,63.2,26.38,289,11,1,0,1,"Tiranë","Urban",1,1,0,0
10167,83,"M",711.55,"High","Master",2,114.94,230.79,41.53,90,12,4,0,1,"Other","Suburban",0,0,0,1
10168,68,"F",437.54,"Low","Master",5,57.7,143.29,19.05,646,9,4,0,1,"Other","Urban",1,1,0,0
10169,35,"M",1146.87,"Medium","Master",2,39.76,97.18,21,236,8,9,1,1,"Tiranë","Urban",0,0,1,0
10170,61,"M",1819.87,"High","High School",3,65.33,158.84,24.5,584,7,9,0,0,"Elbasan","Urban",0,0,0,1
10171,39,"M",2075.21,"Low","High School",3,4.06,7.62,1.92,531,10,6,1,0,"Tiranë","Suburban",0,1,0,0
10172,54,"M",2068.14,"Low","High School",1,34.62,72.97,23.58,604,9,5,0,1,"Tiranë","Rural",0,1,0,0
10173,62,"F",1882.24,"Very High","Bachelor",1,82.61,159.4,56.48,870,8,7,1,1,"Tiranë","Urban",1,0,0,0
10174,65,"F",0,"Medium","Bachelor",1,50.26,51.3,26.97,481,8,3,0,0,"Elbasan","Suburban",1,0,1,0
10175,71,"M",1562.83,"Medium","PhD",2,26.03,38.53,11.4,509,10,4,1,0,"Other","Urban",0,0,1,0
10176,50,"F",1985.43,"Low","Bachelor",0,0,0,0,NA,4,9,0,0,"Elbasan","Urban",1,1,0,0
10177,57,"M",243.48,"Medium","High School",2,33.35,73.96,15.97,854,12,5,0,1,"Tiranë","Rural",0,0,1,0
10178,47,"M",2715.66,"Medium","Master",4,66.22,83.19,38.5,693,10,1,0,1,"Other","Urban",0,0,1,0
10179,67,"F",784.04,"High","Bachelor",1,159.2,204.56,89.69,138,6,4,0,1,"Other","Urban",1,0,0,1
10180,55,"M",1798.82,"High","Bachelor",4,69.83,116.33,25.3,190,13,1,0,1,"Durrës","Suburban",0,0,0,1
10181,21,"F",2193.25,"High","Master",2,88.56,189.17,51.22,205,1,3,1,0,"Elbasan","Urban",1,0,0,1
10182,32,"M",714.49,"Low","Bachelor",5,10.56,23.4,7.72,531,10,2,0,1,"Other","Suburban",0,1,0,0
10183,66,"F",2082.92,"Medium","Master",4,10.98,11.3,5.86,420,10,6,1,0,"Tiranë","Urban",1,0,1,0
10184,48,"F",3254.06,"Low","High School",4,19.6,20.22,12.92,485,9,5,0,0,"Durrës","Urban",1,1,0,0
10185,51,"M",1117.84,"Medium","Master",2,79.17,133.14,60.17,589,4,3,0,1,"Tiranë","Urban",0,0,1,0
10186,56,"M",1399.89,"Low","Bachelor",0,0,0,0,NA,14,4,0,1,"Vlorë","Rural",0,1,0,0
10187,62,"M",2082.24,"High","Bachelor",4,34.08,55.34,10.89,669,9,6,0,0,"Tiranë","Suburban",0,0,0,1
10188,60,"M",691.48,"Very High","Bachelor",4,11.03,21.88,6.74,283,7,6,1,1,"Durrës","Urban",0,0,0,0
10189,66,"F",1635.07,"Medium","Bachelor",1,62.42,75.52,27.01,56,12,9,0,1,"Other","Suburban",1,0,1,0
10190,66,"F",1765.14,"Medium","Master",1,35.95,64.52,18.95,390,10,5,0,1,"Tiranë","Urban",1,0,1,0
10191,95,"F",1628.98,"Medium","High School",1,22.63,34.61,9.05,666,8,7,0,1,"Tiranë","Urban",1,0,1,0
10192,45,"F",1389.57,"Low","High School",0,0,0,0,NA,15,2,0,1,"Other","Urban",1,1,0,0
10193,59,"M",123.9,"High","Master",3,5.36,10.94,2.67,983,6,2,0,1,"Durrës","Suburban",0,0,0,1
10194,66,"F",882.66,"Low","Master",3,15.57,31.55,9.75,363,3,6,0,1,"Other","Rural",1,1,0,0
10195,26,"M",759.77,"High","Bachelor",2,34.55,77.8,14.11,68,5,3,0,1,"Vlorë","Suburban",0,0,0,1
10196,80,"F",800.29,"Low","Bachelor",1,25.23,43.49,15.71,345,6,5,0,0,"Durrës","Rural",1,1,0,0
10197,18,"M",3708.67,"Low","Bachelor",2,39.56,84.93,24.78,767,9,4,0,0,"Tiranë","Urban",0,1,0,0
10198,50,"M",2438.37,"Low","Bachelor",3,48.7,77.43,28.23,459,9,5,0,0,"Tiranë","Rural",0,1,0,0
10199,48,"F",591.95,"Medium","High School",4,20.89,25.22,12.24,553,5,10,0,1,"Tiranë","Urban",1,0,1,0
10200,88,"M",1044.19,"Medium","Bachelor",2,43.9,83.31,34.54,96,6,6,0,0,"Vlorë","Suburban",0,0,1,0
10201,29,"M",2052.9,"High","Bachelor",2,22.92,27.66,15.14,554,8,4,0,1,"Shkodër","Urban",0,0,0,1
10202,77,"M",1719.79,"Medium","High School",2,62.6,74.24,43.33,367,13,6,0,1,"Tiranë","Urban",0,0,1,0
10203,32,"M",0,"Medium","Bachelor",4,50.4,84.32,34.5,505,8,7,0,1,"Durrës","Rural",0,0,1,0
10204,37,"F",1429.38,"High","High School",0,0,0,0,NA,14,6,0,0,"Durrës","Urban",1,0,0,1
10205,77,"F",1552.68,"High","Bachelor",0,0,0,0,NA,9,4,0,1,"Shkodër","Urban",1,0,0,1
10206,59,"F",1894.64,"Medium","High School",2,41.85,63.2,29.17,233,11,5,0,0,"Other","Urban",1,0,1,0
10207,45,"M",2556.11,"Very High","High School",3,35.41,78.51,21.35,333,6,3,0,1,"Vlorë","Suburban",0,0,0,0
10208,42,"M",1614.05,"Medium","Bachelor",1,45.45,80.06,20.16,974,10,0,1,1,"Other","Urban",0,0,1,0
10209,68,"F",2618.35,"Low","Master",4,16.52,26.78,4.98,368,8,4,0,1,"Durrës","Urban",1,1,0,0
10210,41,"F",1392.04,"Very High","High School",0,0,0,0,NA,9,3,0,0,"Other","Urban",1,0,0,0
10211,88,"M",1196.73,"Medium","Bachelor",1,5.06,10.04,3.82,963,8,2,0,1,"Durrës","Urban",0,0,1,0
10212,74,"F",1884.15,"High","Master",4,18.74,42.94,10.23,646,8,3,0,1,"Durrës","Urban",1,0,0,1
10213,63,"F",1832.12,"High","Bachelor",3,8.36,20.54,4.54,417,12,7,0,1,"Durrës","Suburban",1,0,0,1
10214,95,"M",1428.7,"Very High","Master",8,49.81,99.22,19.61,199,10,4,0,0,"Durrës","Urban",0,0,0,0
10215,47,"F",1128.42,"Low","Bachelor",0,0,0,0,NA,4,5,1,0,"Shkodër","Suburban",1,1,0,0
10216,39,"F",1496.43,"Medium","High School",2,122.43,189.61,79.81,234,8,6,1,1,"Elbasan","Rural",1,0,1,0
10217,53,"F",18.8,"Medium","Bachelor",3,24.46,26.24,8.92,141,8,7,0,0,"Tiranë","Urban",1,0,1,0
10218,60,"F",506.76,"High","High School",6,41.37,75.93,26.13,296,11,9,0,0,"Durrës","Urban",1,0,0,1
